name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\third_party\blink\renderer\platform\wtf\threading_win.cc,872,73172,202,112
..\..\third_party\blink\renderer\platform\wtf\uuid.cc,1219,99482,24,172
..\..\third_party\blink\renderer\platform\wtf\wtf.cc,1342,102883,84,184
..\..\third_party\blink\renderer\core\win\precompile_core.cc,1328,44470,7,56
..\..\third_party\blink\renderer\controller\blink_initializer.cc,5830,297341,214,1163
..\..\third_party\blink\renderer\controller\blink_leak_detector.cc,7691,388212,145,1657
..\..\third_party\blink\renderer\controller\dev_tools_frontend_impl.cc,8283,381606,133,1652
..\..\third_party\blink\renderer\controller\memory_usage_monitor.cc,2069,147807,85,300
..\..\third_party\blink\renderer\core\win\precompile_core.cc,1268,44470,7,56
..\..\third_party\blink\renderer\core\core_initializer.cc,6605,365262,156,1419
..\..\third_party\blink\renderer\core\win\precompile_core.cc,1389,44470,7,56
..\..\third_party\blink\renderer\bindings\core\v8\active_script_wrappable.cc,2488,166921,36,456
..\..\third_party\blink\renderer\bindings\core\v8\array_value.cc,2070,146281,69,317
..\..\third_party\blink\renderer\bindings\core\v8\binding_security.cc,4789,269961,512,938
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_custom_xpath_ns_resolver.cc,5791,308006,101,1189
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_dev_tools_host_custom.cc,5559,299362,171,1189
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_element_custom.cc,2460,159151,83,382
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_event_target_custom.cc,4353,254933,67,880
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_html_all_collection_custom.cc,3088,182609,82,527
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_html_plugin_element_custom.cc,3648,215508,161,670
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_message_channel_custom.cc,6407,344025,63,1365
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_pop_state_event_custom.cc,2684,165669,113,441
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_promise_rejection_event_custom.cc,2060,147448,45,327
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_shadow_root_custom.cc,2413,159552,50,383
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_window_custom.cc,7509,372981,305,1521
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_xml_http_request_custom.cc,8452,401330,120,1727
..\..\third_party\blink\renderer\bindings\core\v8\custom_wrappable_adapter.cc,2068,147398,85,324
..\..\third_party\blink\renderer\bindings\core\v8\dictionary.cc,2447,148147,217,336
..\..\third_party\blink\renderer\bindings\core\v8\dictionary_helper_for_core.cc,4881,259974,272,1001
..\..\third_party\blink\renderer\bindings\core\v8\generated_code_helper.cc,2914,177465,161,489
..\..\third_party\blink\renderer\bindings\core\v8\idl_dictionary_base.cc,1230,78746,17,148
..\..\third_party\blink\renderer\bindings\core\v8\js_based_event_listener.cc,3021,175453,180,506
..\..\third_party\blink\renderer\bindings\core\v8\js_event_handler.cc,2256,144434,202,319
..\..\third_party\blink\renderer\bindings\core\v8\js_event_handler_for_content_attribute.cc,5358,276917,213,1012
..\..\third_party\blink\renderer\bindings\core\v8\js_event_listener.cc,2093,147057,67,324
..\..\third_party\blink\renderer\bindings\core\v8\local_window_proxy.cc,7722,369748,583,1498
..\..\third_party\blink\renderer\bindings\core\v8\module_record.cc,7531,347200,204,1421
..\..\third_party\blink\renderer\bindings\core\v8\profiler_trace_builder.cc,3235,169886,185,424
..\..\third_party\blink\renderer\bindings\core\v8\referrer_script_info.cc,4083,239004,109,818
..\..\third_party\blink\renderer\bindings\core\v8\rejected_promises.cc,4425,242554,275,896
..\..\third_party\blink\renderer\bindings\core\v8\remote_window_proxy.cc,3725,226769,153,717
..\..\third_party\blink\renderer\bindings\core\v8\scheduled_action.cc,7548,373253,209,1570
..\..\third_party\blink\renderer\bindings\core\v8\script_controller.cc,8646,398007,401,1679
..\..\third_party\blink\renderer\bindings\core\v8\isolated_world_csp.cc,7477,356103,197,1438
..\..\third_party\blink\renderer\bindings\core\v8\script_custom_element_definition.cc,3512,191690,360,588
..\..\third_party\blink\renderer\bindings\core\v8\script_custom_element_definition_builder.cc,2686,159119,231,376
..\..\third_party\blink\renderer\bindings\core\v8\script_event_listener.cc,5744,304271,108,1169
..\..\third_party\blink\renderer\bindings\core\v8\script_function.cc,1942,138800,51,273
..\..\third_party\blink\renderer\bindings\core\v8\script_iterator.cc,5737,303801,86,1164
..\..\third_party\blink\renderer\bindings\core\v8\script_promise.cc,2217,141503,347,295
..\..\third_party\blink\renderer\bindings\core\v8\script_promise_property_base.cc,2400,148521,233,339
..\..\third_party\blink\renderer\bindings\core\v8\script_promise_resolver.cc,6533,301977,128,1194
..\..\third_party\blink\renderer\bindings\core\v8\script_regexp.cc,2037,146257,129,318
..\..\third_party\blink\renderer\bindings\core\v8\script_source_code.cc,3668,227451,112,763
..\..\third_party\blink\renderer\bindings\core\v8\script_streamer.cc,4463,226565,595,776
..\..\third_party\blink\renderer\bindings\core\v8\script_value.cc,2407,161837,70,404
..\..\third_party\blink\renderer\bindings\core\v8\serialization\post_message_helper.cc,4652,250517,130,907
..\..\third_party\blink\renderer\bindings\core\v8\serialization\serialized_color_params.cc,5539,318167,155,1114
..\..\third_party\blink\renderer\bindings\core\v8\serialization\serialized_script_value.cc,6396,321549,776,1141
..\..\third_party\blink\renderer\bindings\core\v8\serialization\serialized_script_value_factory.cc,5665,320619,45,1128
..\..\third_party\blink\renderer\bindings\core\v8\serialization\transferables.cc,5779,317135,32,1107
..\..\third_party\blink\renderer\bindings\core\v8\serialization\unpacked_serialized_script_value.cc,3217,202894,59,578
..\..\third_party\blink\renderer\bindings\core\v8\serialization\v8_script_value_deserializer.cc,6011,325475,740,1170
..\..\third_party\blink\renderer\bindings\core\v8\serialization\v8_script_value_serializer.cc,6467,327599,791,1197
..\..\third_party\blink\renderer\bindings\core\v8\source_location.cc,3757,206815,199,653
..\..\third_party\blink\renderer\bindings\core\v8\to_v8_for_core.cc,2818,180507,59,511
..\..\third_party\blink\renderer\bindings\core\v8\use_counter_callback.cc,2510,173030,256,434
..\..\third_party\blink\renderer\bindings\core\v8\v0_custom_element_constructor_builder.cc,3475,199212,402,571
..\..\third_party\blink\renderer\bindings\core\v8\v8_binding_for_core.cc,9192,421451,940,1828
..\..\third_party\blink\renderer\bindings\core\v8\v8_code_cache.cc,7644,351688,378,1443
..\..\third_party\blink\renderer\bindings\core\v8\v8_context_snapshot.cc,3802,206396,515,663
..\..\third_party\blink\renderer\bindings\core\v8\v8_dom_configuration.cc,2558,162283,848,376
..\..\third_party\blink\renderer\bindings\core\v8\v8_embedder_graph_builder.cc,3568,186696,682,546
..\..\third_party\blink\renderer\bindings\core\v8\v8_gc_controller.cc,4810,251942,296,942
..\..\third_party\blink\renderer\bindings\core\v8\v8_gc_for_context_dispose.cc,3467,233487,128,825
..\..\third_party\blink\renderer\bindings\core\v8\v8_html_constructor.cc,4957,265026,147,949
..\..\third_party\blink\renderer\bindings\core\v8\v8_initializer.cc,8095,393741,738,1644
..\..\third_party\blink\renderer\bindings\core\v8\v8_intersection_observer_delegate.cc,5652,305843,41,1178
..\..\third_party\blink\renderer\bindings\core\v8\v8_iterator_result_value.cc,1861,140415,41,287
..\..\third_party\blink\renderer\bindings\core\v8\v8_object_builder.cc,2155,146113,72,316
..\..\third_party\blink\renderer\bindings\core\v8\v8_object_parser.cc,2288,164690,52,412
..\..\third_party\blink\renderer\bindings\core\v8\v8_page_popup_controller_binding.cc,4855,272182,54,951
..\..\third_party\blink\renderer\bindings\core\v8\v8_script_runner.cc,7649,354041,528,1454
..\..\third_party\blink\renderer\bindings\core\v8\v8_throw_dom_exception.cc,2101,141175,79,292
..\..\third_party\blink\renderer\bindings\core\v8\v8_v0_custom_element_lifecycle_callbacks.cc,5948,311400,261,1211
..\..\third_party\blink\renderer\bindings\core\v8\v8_wasm_response_extensions.cc,6682,321857,411,1293
..\..\third_party\blink\renderer\bindings\core\v8\window_proxy.cc,2870,182020,177,520
..\..\third_party\blink\renderer\bindings\core\v8\window_proxy_manager.cc,4048,237716,122,821
..\..\third_party\blink\renderer\bindings\core\v8\worker_or_worklet_script_controller.cc,7872,372117,494,1566
..\..\third_party\blink\renderer\bindings\core\v8\world_safe_v8_reference.cc,1945,148189,53,342
..\..\third_party\blink\renderer\core\win\precompile_core.cc,1367,44470,7,56
..\..\third_party\blink\renderer\core\accessibility\apply_dark_mode.cc,8912,385442,136,1564
..\..\third_party\blink\renderer\core\accessibility\ax_context.cc,2436,166850,28,455
..\..\third_party\blink\renderer\core\accessibility\ax_object_cache.cc,2809,176601,148,479
..\..\third_party\blink\renderer\core\accessibility\ax_object_cache_base.cc,2552,167020,17,456
..\..\third_party\blink\renderer\core\win\precompile_core.cc,1373,44470,7,56
..\..\third_party\blink\renderer\core\animation\animatable.cc,4061,227728,123,730
..\..\third_party\blink\renderer\core\animation\animation.cc,10644,402728,1886,1668
..\..\third_party\blink\renderer\core\animation\animation_clock.cc,739,34129,99,68
..\..\third_party\blink\renderer\core\animation\animation_effect.cc,3787,224711,157,705
