name,t_ms,num_dependent_lines,num_lines,num_deps
gen\chrome\common\open_search_description_document_handler.mojom-shared.cc,1439,140225,88,297
gen\chrome\common\plugin.mojom-shared.cc,1802,154552,835,360
gen\chrome\common\prerender_canceler.mojom-shared.cc,1528,140210,81,297
gen\chrome\common\renderer_configuration.mojom-shared.cc,1833,153385,248,350
gen\chrome\common\sync_encryption_keys_extension.mojom-shared.cc,1390,140021,144,295
gen\chrome\common\conflicts\module_event_sink_win.mojom-shared.cc,1444,139938,83,295
gen\components\content_settings\core\common\content_settings.mojom-shared.cc,1696,147138,375,308
gen\content\public\common\client_hints.mojom-shared.cc,1555,141259,99,303
gen\third_party\blink\public\mojom\web_client_hints\web_client_hints_types.mojom-shared.cc,1311,132923,59,253
gen\url\mojom\origin.mojom-shared.cc,1389,133272,99,255
gen\ui\gfx\geometry\mojom\geometry.mojom-shared.cc,1512,134784,698,253
gen\ui\gfx\image\mojom\image.mojom-shared.cc,1466,141625,140,301
gen\skia\public\mojom\bitmap.mojom-shared.cc,1500,141201,154,299
gen\skia\public\mojom\blur_image_filter_tile_mode.mojom-shared.cc,1182,132895,39,253
gen\skia\public\mojom\image_info.mojom-shared.cc,1302,133178,133,253
gen\skia\public\mojom\skcolor.mojom-shared.cc,1360,132950,74,253
gen\chrome\services\file_util\public\mojom\file_util_service.mojom-shared.cc,1655,151571,83,350
gen\chrome\services\file_util\public\mojom\safe_archive_analyzer.mojom-shared.cc,1668,151830,370,348
gen\components\content_settings\core\common\content_settings.mojom-test-utils.cc,1781,156422,40,351
gen\components\content_settings\core\common\content_settings.mojom.cc,2147,161005,245,359
gen\content\public\common\client_hints.mojom-test-utils.cc,1466,149933,52,353
gen\content\public\common\client_hints.mojom.cc,1867,156037,209,374
gen\third_party\blink\public\mojom\web_client_hints\web_client_hints_types.mojom-test-utils.cc,1298,136786,37,273
gen\third_party\blink\public\mojom\web_client_hints\web_client_hints_types.mojom.cc,1400,142798,51,292
gen\url\mojom\origin.mojom-test-utils.cc,1565,140708,38,291
gen\url\mojom\origin.mojom.cc,1680,146714,94,310
gen\ui\gfx\geometry\mojom\geometry.mojom-test-utils.cc,1621,143797,37,291
gen\ui\gfx\geometry\mojom\geometry.mojom.cc,1758,149791,573,309
gen\ui\gfx\image\mojom\image.mojom-test-utils.cc,2020,181925,41,472
gen\ui\gfx\image\mojom\image.mojom.cc,2342,187932,115,492
gen\skia\public\mojom\bitmap.mojom-test-utils.cc,1689,157296,40,366
gen\skia\public\mojom\bitmap.mojom.cc,2034,163291,128,385
gen\skia\public\mojom\blur_image_filter_tile_mode.mojom-test-utils.cc,1394,143388,37,296
gen\skia\public\mojom\blur_image_filter_tile_mode.mojom.cc,1550,149400,51,315
gen\skia\public\mojom\image_info.mojom-test-utils.cc,1433,143305,37,300
gen\skia\public\mojom\image_info.mojom.cc,1664,149299,99,318
gen\skia\public\mojom\skcolor.mojom-test-utils.cc,1401,143431,37,301
gen\skia\public\mojom\skcolor.mojom.cc,1576,149425,79,319
gen\chrome\services\file_util\public\mojom\file_util_service.mojom-test-utils.cc,1807,154912,49,371
gen\chrome\services\file_util\public\mojom\file_util_service.mojom.cc,1996,161207,175,391
gen\chrome\services\file_util\public\mojom\safe_archive_analyzer.mojom-test-utils.cc,2590,205938,102,435
gen\chrome\services\file_util\public\mojom\safe_archive_analyzer.mojom.cc,3182,210947,835,443
gen\chrome\common\offline_page_auto_fetcher.mojom-test-utils.cc,1601,147705,67,336
gen\chrome\common\offline_page_auto_fetcher.mojom.cc,1868,153849,386,354
gen\chrome\common\offline_page_auto_fetcher.mojom-shared.cc,1431,140395,190,297
gen\chrome\common\supervised_user_commands.mojom-test-utils.cc,1454,144211,69,321
gen\chrome\common\supervised_user_commands.mojom.cc,1819,150403,448,339
gen\chrome\common\supervised_user_commands.mojom-shared.cc,1385,140096,218,295
gen\components\metrics\public\mojom\call_stack_profile_collector.mojom-test-utils.cc,1539,145736,49,328
gen\components\metrics\public\mojom\call_stack_profile_collector.mojom.cc,1781,151789,223,346
gen\components\metrics\public\mojom\call_stack_profile_collector.mojom-shared.cc,1427,140620,147,297
gen\extensions\common\mojom\app_window.mojom-test-utils.cc,1639,144188,48,321
gen\extensions\common\mojom\app_window.mojom.cc,1864,150221,168,339
gen\extensions\common\mojom\guest_view.mojom-test-utils.cc,3135,223452,107,721
gen\extensions\common\mojom\guest_view.mojom.cc,4095,229639,1015,765
gen\extensions\common\mojom\keep_alive.mojom-test-utils.cc,1558,144167,43,321
gen\extensions\common\mojom\keep_alive.mojom.cc,1796,150139,77,339
