name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\third_party\blink\renderer\bindings\core\v8\profiler_trace_builder.cc,4701,5145,185,26
..\..\third_party\blink\renderer\bindings\core\v8\referrer_script_info.cc,5404,55508,109,302
..\..\third_party\blink\renderer\bindings\core\v8\rejected_promises.cc,5345,47023,275,309
..\..\third_party\blink\renderer\bindings\core\v8\remote_window_proxy.cc,4286,8953,153,60
..\..\third_party\blink\renderer\bindings\core\v8\scheduled_action.cc,7273,125610,209,733
..\..\third_party\blink\renderer\bindings\core\v8\script_controller.cc,8126,139547,401,800
..\..\third_party\blink\renderer\bindings\core\v8\isolated_world_csp.cc,6968,100486,197,573
..\..\third_party\blink\renderer\bindings\core\v8\script_custom_element_definition.cc,4519,10184,360,66
..\..\third_party\blink\renderer\bindings\core\v8\script_custom_element_definition_builder.cc,4394,3603,231,26
..\..\third_party\blink\renderer\bindings\core\v8\script_event_listener.cc,5454,65168,108,386
..\..\third_party\blink\renderer\bindings\core\v8\script_function.cc,4097,452,51,5
..\..\third_party\blink\renderer\bindings\core\v8\script_iterator.cc,5448,64698,86,381
..\..\third_party\blink\renderer\bindings\core\v8\script_promise.cc,4353,536,347,6
..\..\third_party\blink\renderer\bindings\core\v8\script_promise_property_base.cc,4112,1226,233,6
..\..\third_party\blink\renderer\bindings\core\v8\script_promise_resolver.cc,6264,47283,128,336
..\..\third_party\blink\renderer\bindings\core\v8\script_regexp.cc,4088,939,129,4
..\..\third_party\blink\renderer\bindings\core\v8\script_source_code.cc,5463,57261,112,312
..\..\third_party\blink\renderer\bindings\core\v8\script_streamer.cc,5006,21595,595,145
..\..\third_party\blink\renderer\bindings\core\v8\script_value.cc,4240,1491,70,8
..\..\third_party\blink\renderer\bindings\core\v8\serialization\post_message_helper.cc,4822,19400,130,150
..\..\third_party\blink\renderer\bindings\core\v8\serialization\serialized_color_params.cc,5608,74849,155,323
..\..\third_party\blink\renderer\bindings\core\v8\serialization\serialized_script_value.cc,6805,78223,776,349
..\..\third_party\blink\renderer\bindings\core\v8\serialization\serialized_script_value_factory.cc,5591,75862,45,331
..\..\third_party\blink\renderer\bindings\core\v8\serialization\transferables.cc,5942,73706,32,314
..\..\third_party\blink\renderer\bindings\core\v8\serialization\unpacked_serialized_script_value.cc,4292,4940,59,40
..\..\third_party\blink\renderer\bindings\core\v8\serialization\v8_script_value_deserializer.cc,6033,81100,740,373
..\..\third_party\blink\renderer\bindings\core\v8\serialization\v8_script_value_serializer.cc,6114,83224,791,400
