name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\third_party\boringssl\src\crypto\rand_extra\forkunsafe.c,324,4837,46,19
..\..\third_party\boringssl\src\crypto\rand_extra\fuchsia.c,70,1671,30,8
..\..\third_party\boringssl\src\crypto\rand_extra\rand_extra.c,73,1773,70,9
..\..\third_party\boringssl\src\crypto\rand_extra\windows.c,304,4837,53,19
..\..\third_party\boringssl\src\crypto\rc4\rc4.c,80,1642,98,8
..\..\third_party\boringssl\src\crypto\refcount_c11.c,326,3727,67,14
..\..\third_party\boringssl\src\crypto\refcount_lock.c,331,3727,53,14
..\..\third_party\boringssl\src\crypto\rsa_extra\rsa_asn1.c,349,7349,325,24
..\..\third_party\boringssl\src\crypto\rsa_extra\rsa_print.c,90,10364,22,19
..\..\third_party\boringssl\src\crypto\siphash\siphash.c,90,1583,80,8
..\..\third_party\boringssl\src\crypto\stack\stack.c,289,3902,431,15
..\..\third_party\boringssl\src\crypto\thread.c,74,1737,110,8
..\..\third_party\boringssl\src\crypto\thread_none.c,292,3727,59,14
..\..\third_party\boringssl\src\crypto\thread_pthread.c,301,3727,206,14
..\..\third_party\boringssl\src\crypto\thread_win.c,299,3902,256,15
..\..\third_party\boringssl\src\crypto\x509\a_digest.c,169,19554,96,43
..\..\third_party\boringssl\src\crypto\x509\a_sign.c,181,19620,128,44
..\..\third_party\boringssl\src\crypto\x509\a_strex.c,212,19673,653,45
..\..\third_party\boringssl\src\crypto\x509\a_verify.c,173,19620,114,44
..\..\third_party\boringssl\src\crypto\x509\algorithm.c,183,19308,153,41
..\..\third_party\boringssl\src\crypto\x509\asn1_gen.c,449,21921,842,48
..\..\third_party\boringssl\src\crypto\x509\by_dir.c,434,20572,458,44
..\..\third_party\boringssl\src\crypto\x509\by_file.c,217,20162,275,45
..\..\third_party\boringssl\src\crypto\x509\i2d_pr.c,139,15194,83,29
..\..\third_party\boringssl\src\crypto\x509\rsa_pss.c,222,20200,385,42
..\..\third_party\boringssl\src\crypto\x509\t_crl.c,254,20847,125,46
..\..\third_party\boringssl\src\crypto\x509\t_req.c,208,20553,244,44
..\..\third_party\boringssl\src\crypto\x509\t_x509.c,240,20913,544,47
..\..\third_party\boringssl\src\crypto\x509\t_x509a.c,180,19554,111,43
..\..\third_party\boringssl\src\crypto\x509\x509.c,195,19554,157,43
..\..\third_party\boringssl\src\crypto\x509\x509_att.c,177,19242,381,40
